ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,log_price,daily_log_return
000001.SH,20000104,1406.371,1368.693,1407.518,1361.214,1366.58,39.791,2.9117,9034023.0,5183897.919,7.248767906695564,
000001.SH,20000105,1409.682,1407.829,1433.78,1398.323,1406.371,3.311,0.2354,10579984.0,8137326.105,7.251119426021173,0.002351519325609175
000001.SH,20000106,1463.942,1406.036,1463.955,1400.253,1409.682,54.26,3.8491,13480515.0,9520842.349,7.2888880762501245,0.03776865022895137
000001.SH,20000107,1516.604,1477.154,1522.825,1477.154,1463.942,52.662,3.5973,34515699.0,19487194.485,7.324228903741927,0.035340827491802784
000001.SH,20000110,1545.112,1531.712,1546.723,1506.404,1516.604,28.508,1.8797,31253539.0,18779112.481,7.34285167861382,0.018622774871892567
000001.SH,20000111,1479.781,1547.678,1547.708,1468.757,1545.112,-65.331,-4.2282,21924554.0,15771749.15,7.299649382836107,-0.04320229577771251
000001.SH,20000112,1438.02,1473.761,1489.28,1434.996,1479.781,-41.761,-2.8221,15222869.0,12656691.091,7.271022446390115,-0.028626936445991902
000001.SH,20000113,1424.442,1437.453,1444.066,1418.814,1438.02,-13.578,-0.9442,8612912.0,7468732.839,7.261535437068327,-0.009487009321788697
000001.SH,20000114,1408.848,1426.224,1433.474,1401.706,1424.442,-15.594,-1.0947,7447012.0,6256399.467,7.25052762815183,-0.011007808916496664
000001.SH,20000117,1433.33,1408.988,1433.383,1402.663,1408.848,24.482,1.7377,7649831.0,6290278.052,7.267755687429444,0.01722805927761417
000001.SH,20000118,1426.623,1436.888,1443.592,1421.642,1433.33,-6.707,-0.4679,7767128.0,7072430.996,7.263065391962679,-0.0046902954667649155
000001.SH,20000119,1440.724,1425.874,1443.672,1425.143,1426.623,14.101,0.9884,8006596.0,6493590.019,7.272901043997426,0.0098356520347469
000001.SH,20000120,1466.863,1443.094,1466.901,1443.094,1440.724,26.139,1.8143,10070802.0,8875430.174,7.29088138591567,0.017980341918243603
000001.SH,20000121,1465.085,1471.905,1476.456,1458.925,1466.863,-1.778,-0.1212,15050973.0,13743475.501,7.28966854024586,-0.0012128456698095036
000001.SH,20000124,1477.344,1465.858,1477.412,1449.472,1465.085,12.259,0.8367,16241515.0,14606044.275,7.298001159949551,0.00833261970369037
000001.SH,20000125,1476.506,1483.033,1490.464,1467.438,1477.344,-0.838,-0.0567,13635987.0,12996698.663,7.297433764839791,-0.0005673951097593388
000001.SH,20000126,1481.117,1477.295,1482.464,1469.98,1476.506,4.611,0.3123,10384437.0,9577442.403,7.300551811822629,0.0031180469828377966
000001.SH,20000127,1506.767,1490.447,1506.922,1485.234,1481.117,25.65,1.7318,18981786.0,15992564.469,7.317721574861311,0.017169763038682007
000001.SH,20000128,1534.997,1514.558,1536.346,1510.745,1506.767,28.23,1.8735,29388956.0,20709479.516,7.336283705621994,0.01856213076068247
000001.SH,20000214,1673.943,1591.445,1674.132,1587.818,1534.997,138.946,9.0519,43580820.0,23157620.808,7.422937200290488,0.0866534946684947
000001.SH,20000215,1670.67,1709.224,1746.443,1663.005,1673.943,-3.273,-0.1955,52543472.0,34925487.573,7.420980022557352,-0.001957177733136639
000001.SH,20000216,1693.109,1674.936,1695.881,1649.699,1670.67,22.439,1.3431,37435550.0,34009003.014,7.434321762813165,0.013341740255813583
000001.SH,20000217,1640.649,1734.268,1770.88,1615.629,1693.109,-52.46,-3.0984,51439047.0,47262171.14,7.40284717424442,-0.03147458856874508
000001.SH,20000218,1668.091,1623.961,1668.164,1583.582,1640.649,27.442,1.6726,26799651.0,25842490.034,7.419435137785464,0.01658796354104375
000001.SH,20000221,1677.136,1681.361,1697.01,1652.476,1668.091,9.045,0.5422,31052408.0,32615791.398,7.424842855732385,0.005407717946921409
000001.SH,20000222,1632.294,1681.299,1687.511,1627.467,1677.136,-44.842,-2.6737,24251778.0,26178823.206,7.397741666358343,-0.02710118937404271
000001.SH,20000223,1594.93,1618.008,1630.546,1586.634,1632.294,-37.364,-2.289,19186060.0,18577262.975,7.37458512710854,-0.02315653924980232
000001.SH,20000224,1634.309,1593.948,1634.323,1593.929,1594.93,39.379,2.469,13932878.0,14762155.773,7.398975364028718,0.024390236920178054
000001.SH,20000225,1631.576,1639.919,1650.365,1618.177,1634.309,-2.733,-0.1672,17058055.0,18504670.829,7.397301697847598,-0.0016736661811203035
000001.SH,20000228,1704.855,1639.799,1704.884,1639.696,1631.576,73.279,4.4913,26127943.0,24422228.681,7.441235342112902,0.04393364426530422
000001.SH,20000229,1714.578,1728.136,1733.141,1678.35,1704.855,9.723,0.5703,28680757.0,32196007.876,7.446922265181351,0.00568692306844909
000001.SH,20000301,1697.744,1720.597,1721.14,1692.509,1714.578,-16.834,-0.9818,22488355.0,23873891.116,7.43705558989842,-0.009866675282931503
000001.SH,20000302,1713.014,1697.562,1721.598,1682.535,1697.744,15.27,0.8994,19593496.0,20352633.528,7.446009671086987,0.008954081188567109
000001.SH,20000303,1738.021,1728.355,1750.645,1721.705,1713.014,25.007,1.4598,24815490.0,25767592.248,7.460502388606195,0.01449271751920822
000001.SH,20000306,1681.085,1756.313,1762.829,1678.744,1738.021,-56.936,-3.2759,26507215.0,26614912.081,7.42719469727004,-0.03330769133615519
000001.SH,20000307,1694.798,1661.948,1694.887,1654.444,1681.085,13.713,0.8157,17685615.0,16439373.751,7.435318838671463,0.008124141401422591
000001.SH,20000308,1726.033,1699.462,1726.043,1690.117,1694.798,31.235,1.843,19745941.0,17218283.311,7.453580990811702,0.018262152140239074
000001.SH,20000309,1732.346,1734.767,1741.224,1714.921,1726.033,6.313,0.3658,17877378.0,18604743.122,7.457231838224318,0.0036508474126160095
000001.SH,20000310,1705.049,1731.94,1743.139,1701.793,1732.346,-27.297,-1.5757,15872362.0,16393991.37,7.441349128307593,-0.015882709916724913
000001.SH,20000313,1728.875,1706.769,1729.007,1706.349,1705.049,23.826,1.3974,19829172.0,12882605.992,7.455226186944872,0.01387705863727895
000001.SH,20000314,1685.347,1690.653,1700.373,1636.893,1728.875,-43.528,-2.5177,22870430.0,18661145.444,7.4297267563029195,-0.02549943064195226
000001.SH,20000315,1681.471,1680.296,1695.162,1676.544,1685.347,-3.876,-0.23,16782154.0,15695372.102,7.427424284525506,-0.002302471777413828
000001.SH,20000316,1607.527,1671.097,1671.178,1596.072,1681.471,-73.944,-4.3976,19791759.0,13637411.551,7.382452252238215,-0.04497203228729063
000001.SH,20000317,1658.601,1602.363,1661.976,1602.335,1607.527,51.074,3.1772,15337509.0,13891457.57,7.413729754935045,0.03127750269683016
000001.SH,20000320,1699.248,1646.31,1699.281,1641.765,1658.601,40.647,2.4507,18175434.0,17219843.223,7.437941079236206,0.02421132430116124
000001.SH,20000321,1710.324,1704.085,1713.205,1692.684,1699.248,11.076,0.6518,16351100.0,17635837.072,7.444438105233044,0.006497025996837991
000001.SH,20000322,1720.446,1713.241,1726.59,1711.158,1710.324,10.122,0.5918,14658421.0,16886303.609,7.450338838520042,0.005900733286997806
000001.SH,20000323,1747.241,1724.188,1747.283,1711.405,1720.446,26.795,1.5574,16749502.0,17434438.387,7.465793251392477,0.015454412872434986
000001.SH,20000324,1730.499,1761.444,1770.263,1729.483,1747.241,-16.742,-0.9582,22037719.0,22607366.636,7.456165085207564,-0.009628166184913134
000001.SH,20000327,1775.914,1736.696,1776.021,1736.696,1730.499,45.415,2.6244,19927313.0,20103074.439,7.48207049895624,0.025905413748676054
000001.SH,20000328,1791.441,1788.827,1799.952,1774.482,1775.914,15.527,0.8743,24485166.0,22388465.413,7.490775602906575,0.008705103950334525
000001.SH,20000329,1788.807,1797.881,1803.827,1763.62,1791.441,-2.634,-0.147,23026677.0,19240343.167,7.489304196191048,-0.0014714067155265909
000001.SH,20000330,1810.984,1793.676,1811.063,1790.849,1788.807,22.177,1.2398,29305937.0,18011624.777,7.501625622946539,0.012321426755490528
000001.SH,20000331,1800.225,1810.553,1810.897,1780.411,1810.984,-10.759,-0.5941,23340725.0,18552252.287,7.495666936072407,-0.00595868687413148
000001.SH,20000403,1801.003,1799.575,1816.86,1798.254,1800.225,0.778,0.0432,18861112.0,17921349.214,7.496099010915824,0.00043207484341678537
000001.SH,20000404,1760.692,1795.161,1795.161,1755.98,1801.003,-40.311,-2.2383,17128277.0,14832918.47,7.473462192574663,-0.022636818341160492
000001.SH,20000405,1771.199,1756.3,1776.715,1746.302,1760.692,10.507,0.5968,13604581.0,12164237.566,7.479411997365234,0.00594980479057039
000001.SH,20000406,1809.141,1775.784,1809.169,1775.676,1771.199,37.942,2.1422,15007034.0,14467556.94,7.500607425973106,0.02119542860787238
000001.SH,20000407,1819.896,1816.786,1822.615,1807.543,1809.141,10.755,0.5945,16081260.0,15683968.192,7.506534635580983,0.005927209607876627
000001.SH,20000410,1826.061,1826.611,1831.853,1815.991,1819.896,6.165,0.3388,16809158.0,16191766.614,7.509916466949617,0.003381831368634458
000001.SH,20000411,1821.174,1826.403,1828.057,1812.008,1826.061,-4.887,-0.2676,14245779.0,14330834.526,7.50723662705738,-0.00267983989223719
000001.SH,20000412,1807.328,1822.398,1823.832,1785.327,1821.174,-13.846,-0.7603,13643033.0,12673772.436,7.4996047904455345,-0.007631836611845522
000001.SH,20000413,1831.548,1807.837,1832.083,1807.712,1807.328,24.22,1.3401,16549057.0,14957163.058,7.512916789901653,0.013311999456118606
000001.SH,20000414,1833.665,1835.861,1840.189,1820.672,1831.548,2.117,0.1156,17905466.0,16789066.93,7.5140719752812855,0.0011551853796323286
000001.SH,20000417,1795.058,1829.615,1829.929,1778.878,1833.665,-38.607,-2.1055,19840142.0,18006789.902,7.492792612378074,-0.021279362903211307
000001.SH,20000418,1813.495,1794.339,1813.571,1779.294,1795.058,18.437,1.0271,13204741.0,12563870.583,7.503011201619625,0.010218589241550724
000001.SH,20000419,1828.71,1819.081,1831.57,1817.211,1813.495,15.215,0.839,12766159.0,13317001.781,7.511366079231141,0.008354877611516542
000001.SH,20000420,1847.027,1831.657,1847.51,1831.485,1828.71,18.317,1.0016,16537760.0,16462800.462,7.521332598392339,0.009966519161197951
000001.SH,20000421,1841.064,1851.307,1858.265,1834.847,1847.027,-5.963,-0.3228,16244634.0,17091940.018,7.518098944344206,-0.003233654048133694
000001.SH,20000424,1837.398,1844.695,1848.973,1827.167,1841.064,-3.666,-0.1991,16163776.0,15628040.159,7.516105719342161,-0.001993225002044241
000001.SH,20000425,1833.469,1838.05,1841.86,1815.632,1837.398,-3.929,-0.2138,10771400.0,11112366.661,7.513965079814588,-0.0021406395275738177
000001.SH,20000426,1832.779,1835.666,1842.887,1826.392,1833.469,-0.69,-0.0376,10163838.0,10596524.391,7.513588673194988,-0.00037640661959947863
000001.SH,20000427,1806.83,1835.601,1840.572,1803.577,1832.779,-25.949,-1.4158,12332939.0,12226651.955,7.499329207583274,-0.014259465611714539
000001.SH,20000428,1836.321,1805.503,1836.329,1797.713,1806.83,29.491,1.6322,10971311.0,11368103.089,7.5155193924996055,0.01619018491633195
000001.SH,20000508,1836.637,1848.173,1852.903,1828.097,1836.321,0.316,0.0172,8959124.0,9370446.571,7.515691460898307,0.00017206839870187451
000001.SH,20000509,1806.638,1838.996,1839.288,1799.822,1836.637,-29.999,-1.6334,9130320.0,9442887.821,7.499222938481026,-0.016468522417281584
000001.SH,20000510,1752.689,1801.426,1801.64,1750.012,1806.638,-53.949,-2.9862,9452670.0,8447192.934,7.46890645902817,-0.030316479452856093
000001.SH,20000511,1724.048,1750.859,1762.125,1718.892,1752.689,-28.641,-1.6341,8437169.0,8141305.897,7.452430293063429,-0.016476165964740552
000001.SH,20000512,1720.608,1725.868,1740.954,1715.058,1724.048,-3.44,-0.1995,7404182.0,7146073.121,7.450432995717296,-0.0019972973461328536
000001.SH,20000515,1704.587,1722.635,1726.724,1695.531,1720.608,-16.021,-0.9311,7094656.0,6642869.064,7.441078131636495,-0.009354864080801661
000001.SH,20000516,1724.538,1706.728,1725.903,1706.728,1704.587,19.951,1.1704,5335451.0,5311438.709,7.452714467506692,0.011636335870197634
000001.SH,20000517,1725.398,1727.426,1736.274,1722.712,1724.538,0.86,0.0499,5257680.0,5381897.611,7.453213027490305,0.0004985599836127008
000001.SH,20000518,1758.537,1725.604,1758.54,1719.844,1725.398,33.139,1.9207,8354139.0,7887885.857,7.472237492352339,0.01902446486203413
000001.SH,20000519,1777.828,1761.791,1777.983,1754.884,1758.537,19.291,1.097,9553986.0,10186382.594,7.483147673486675,0.01091018113433595
000001.SH,20000522,1824.736,1785.894,1830.927,1783.304,1777.828,46.908,2.6385,14714392.0,15293806.571,7.509190598018435,0.026042924531759937
000001.SH,20000523,1832.075,1834.436,1836.992,1811.577,1824.736,7.339,0.4022,12469571.0,12572758.659,7.513204483260732,0.004013885242296844
000001.SH,20000524,1855.493,1835.563,1861.484,1831.842,1832.075,23.418,1.2782,15868439.0,16279508.58,7.525905707925495,0.012701224664763089
000001.SH,20000525,1880.704,1866.563,1880.719,1860.779,1855.493,25.211,1.3587,16809419.0,18349950.73,7.539401453813427,0.013495745887931676
000001.SH,20000526,1879.617,1885.752,1890.686,1860.919,1880.704,-1.087,-0.0578,20689256.0,18315575.83,7.538823311665308,-0.0005781421481190208
000001.SH,20000529,1898.748,1885.546,1900.674,1882.742,1879.617,19.131,1.0178,18044262.0,18860832.916,7.548950000584872,0.010126688919564586
000001.SH,20000530,1877.471,1903.53,1908.306,1868.61,1898.748,-21.277,-1.1206,16518990.0,16860800.056,7.537680937447094,-0.01126906313777809
000001.SH,20000531,1894.554,1875.463,1894.583,1869.338,1877.471,17.083,0.9099,15769235.0,16247708.354,7.546738733615382,0.009057796168288057
000001.SH,20000601,1903.488,1900.533,1906.817,1889.995,1894.554,8.934,0.4716,14654583.0,15427005.54,7.551443271626164,0.004704538010781967
000001.SH,20000602,1916.25,1906.162,1916.25,1897.713,1903.488,12.762,0.6705,17840352.0,17480910.338,7.558125430186024,0.006682158559859985
000001.SH,20000605,1899.092,1921.969,1930.335,1889.815,1916.25,-17.158,-0.8954,29217536.0,21494090.822,7.549131156189606,-0.008994273996417945
000001.SH,20000606,1925.544,1898.591,1925.552,1891.665,1899.092,26.452,1.3929,17190051.0,16217410.399,7.562963804201357,0.01383264801175077
